,Latitude,Longitude,Max_surface_temp_F,county
459,38.563,-115.52799999999999,84.0,Nye County
460,36.389,-114.43299999999999,82.0,Clark County
461,36.363,-116.271,72.0,Nye County
462,40.829,-117.306,93.0,Humboldt County
463,36.033,-115.88799999999999,75.0,Nye County
464,36.968,-116.723,102.0,Nye County
465,38.44,-115.01100000000001,75.0,Nye County
466,36.428000000000004,-116.303,93.0,Nye County
467,41.022,-119.275,73.0,Humboldt County
468,39.547,-114.915,76.0,White Pine County
469,41.258,-118.93700000000001,74.0,Humboldt County
470,40.29,-116.04899999999999,102.0,Elko County
471,37.751,-116.274,77.0,Nye County
472,38.992,-117.042,80.0,Nye County
473,40.187,-116.79,102.0,Lander County
474,40.086999999999996,-114.647,93.0,White Pine County
475,40.763000000000005,-119.17200000000001,72.0,Pershing County
476,36.421,-116.322,91.0,Nye County
477,37.532,-115.23299999999999,90.0,Lincoln County
478,36.408,-116.31299999999999,70.0,Nye County
479,36.402,-116.302,81.0,Nye County
480,37.86,-114.321,70.0,Lincoln County
481,36.425,-116.291,92.0,Nye County
482,39.442,-119.743,84.0,Washoe County
483,38.796,-119.65,70.0,Douglas County
484,38.622,-115.04700000000001,70.0,White Pine County
485,36.491,-116.34200000000001,81.0,Nye County
486,37.997,-118.039,75.0,Esmeralda County
487,40.103,-119.884,73.0,Washoe County
488,41.763000000000005,-118.279,81.0,Humboldt County
489,38.423,-115.022,75.0,Nye County
490,37.896,-114.227,77.0,Lincoln County
491,40.079,-116.035,78.0,Eureka County
492,41.369,-114.18700000000001,69.0,Elko County
493,41.88399999999999,-114.117,104.0,Elko County
494,37.979,-117.993,73.0,Esmeralda County
495,38.645,-114.632,70.0,Lincoln County
496,38.654,-114.633,70.0,Lincoln County
497,38.671,-114.62799999999999,70.0,Lincoln County
498,39.814,-115.61200000000001,76.0,White Pine County
499,38.292,-114.272,84.0,Lincoln County
500,36.975,-116.721,109.0,Nye County
501,37.598,-115.215,90.0,Lincoln County
502,38.383,-115.15299999999999,90.0,Nye County
503,41.98,-114.376,86.0,Elko County
504,35.944,-114.73100000000001,78.0,Mohave County
505,35.964,-114.743,82.0,Mohave County
506,41.19,-115.287,97.0,Elko County
507,40.325,-116.05799999999999,79.0,Elko County
508,35.982,-114.74799999999999,86.0,Clark County
509,41.05,-117.1,79.0,Humboldt County
510,39.457,-119.72200000000001,81.0,Washoe County
511,36.565,-115.671,78.0,Clark County
512,40.929,-116.895,88.0,Lander County
513,36.39,-116.27799999999999,82.0,Nye County
514,40.967,-114.515,72.0,Elko County
515,38.554,-115.531,73.0,Nye County
516,36.205,-115.141,75.0,Clark County
517,39.283,-114.866,95.0,White Pine County
518,36.173,-115.191,79.0,Clark County
519,38.937,-115.695,90.0,Nye County
520,38.556,-115.76700000000001,100.0,Nye County
521,36.468,-116.325,82.0,Nye County
522,40.035,-117.604,104.0,Pershing County
523,39.792,-114.69200000000001,77.0,White Pine County
524,36.147,-115.89299999999999,75.0,Nye County
525,39.413000000000004,-114.779,84.0,White Pine County
526,36.71,-114.714,90.0,Clark County
527,38.352,-115.181,92.0,Nye County
528,38.594,-115.13799999999999,100.0,Nye County
529,40.313,-117.07,109.0,Lander County
530,36.722,-114.71600000000001,90.0,Clark County
531,41.354,-119.116,73.0,Humboldt County
532,39.159,-119.73700000000001,75.0,Carson City
533,41.928999999999995,-114.071,109.0,Elko County
534,41.706,-118.26100000000001,79.0,Humboldt County
535,38.531,-116.405,102.0,Nye County
536,36.207,-115.98299999999999,77.0,Nye County
537,37.806999999999995,-114.38,88.0,Lincoln County
538,36.464,-116.319,93.0,Nye County
539,37.821999999999996,-117.48,97.0,Esmeralda County
540,36.402,-116.274,91.0,Nye County
541,38.927,-115.08200000000001,70.0,White Pine County
542,40.952,-114.751,86.0,Elko County
543,37.996,-116.389,84.0,Nye County
544,41.775,-115.921,106.0,Elko County
545,36.378,-114.443,82.0,Clark County
546,36.479,-116.32600000000001,82.0,Nye County
547,40.873000000000005,-117.93700000000001,83.0,Humboldt County
548,41.876999999999995,-115.62799999999999,104.0,Elko County
549,37.906,-118.171,74.0,Esmeralda County
550,37.741,-115.75299999999999,86.0,Lincoln County
551,38.255,-116.829,86.0,Nye County
552,39.458,-114.756,84.0,White Pine County
553,36.433,-116.30799999999999,86.0,Nye County
554,37.016,-117.211,77.0,Esmeralda County
555,36.567,-114.446,70.0,Clark County
556,41.732,-119.785,83.0,Washoe County
557,39.943000000000005,-116.073,106.0,Eureka County
558,39.988,-116.044,95.0,Eureka County
559,39.525999999999996,-118.876,86.0,Churchill County
560,38.343,-118.103,100.0,Mineral County
561,38.823,-116.71700000000001,95.0,Nye County
562,39.853,-119.719,73.0,Washoe County
563,36.565,-115.62299999999999,79.0,Clark County
564,41.398,-119.165,84.0,Humboldt County
565,41.53,-118.57,104.0,Humboldt County
566,37.074,-116.691,72.0,Nye County
567,36.363,-116.26299999999999,72.0,Nye County
568,36.404,-116.383,90.0,Nye County
569,36.414,-116.292,79.0,Nye County
570,36.437,-116.206,82.0,Nye County
571,36.45,-116.31299999999999,81.0,Nye County
572,36.942,-116.729,88.0,Nye County
573,36.999,-116.706,72.0,Nye County
574,39.917,-114.667,83.0,White Pine County
575,38.027,-116.68299999999999,86.0,Nye County
576,40.025,-117.646,83.0,Pershing County
577,40.992,-117.76299999999999,93.0,Humboldt County
578,40.187,-116.805,72.0,Lander County
579,41.321999999999996,-119.206,75.0,Humboldt County
580,40.126999999999995,-116.884,72.0,Lander County
581,41.338,-119.16799999999999,79.0,Humboldt County
582,36.486,-114.329,77.0,Clark County
583,37.029,-116.719,75.0,Nye County
584,39.068000000000005,-119.786,90.0,Douglas County
585,40.83,-119.538,84.0,Washoe County
586,38.398,-115.86200000000001,99.0,Nye County
587,39.832,-116.069,74.0,Eureka County
588,39.900999999999996,-115.868,68.0,Eureka County
589,38.574,-115.522,72.0,Nye County
590,41.243,-114.947,102.0,Elko County
591,41.591,-119.86200000000001,71.0,Washoe County
592,39.8,-114.65299999999999,74.0,White Pine County
593,38.532,-116.465,95.0,Nye County
594,38.698,-116.435,106.0,Nye County
595,38.633,-114.63799999999999,70.0,Lincoln County
596,41.746,-119.791,73.0,Washoe County
597,41.971000000000004,-114.574,95.0,Elko County
598,36.174,-115.479,78.0,Clark County
599,39.421,-119.758,102.0,Washoe County
600,38.489000000000004,-118.96799999999999,110.0,Lyon County
601,37.993,-117.984,81.0,Esmeralda County
602,41.028999999999996,-117.318,70.0,Humboldt County
603,41.496,-118.429,70.0,Humboldt County
604,41.333999999999996,-119.223,72.0,Humboldt County
